ID;Date;Time;DateTime;Lat (DecDeg);Lon (DecDeg);Temperature (°C);Conductivity in situ (µS/cm);Conductivity lab (µS/cm);d18O (o/oo) vs. SMOW;dD (o/oo) vs. SMOW;d-excess;DOC (mg/L);d14C (Age);Si uM/l (OSL);QF_Si;PO4 ug P/l (OSL);PO4 µM/L (OSL);QF_PO4;NO2+NO3 ug N/l (OSL);NO2+NO3 µM/L;QF_NO2+NO3;NH4 ug N/l (OSL);NH4 µM/L;QF_NH4;NO2 µM N/l (OSL);QF_NO2;Total TP ug P/l;QF_TotalTP;Dissolved TP ug P/l;QF_DissTP;Total TN ug N/l;QF_TotalTN;Dissolved TN ug N/l;QF_DissTN;aCDOM254;aCDOM350;aCDOM443;aCDOM690to700;Cuvette length;Instrument;S275-295;SUVA;d14C sample;cations and anions on sample;Al µg/L (AWI);QF_Al;Ba µg/L (AWI);QF_Ba;Ca mg/L (AWI);QF_Ca;Fe µg/L (AWI);QF_Fe;K mg/L (AWI);QF_K;Mg mg/L (AWI);QF_Mg;Mn µg/L (AWI);QF_Mn;Na mg/L (AWI);QF_Na;P mg/L (AWI);QF_P;Si mg/L (AWI);QF_Si;Sr µg/L (AWI);QF_Sr;F mg/L (AWI);QF_F;Cl mg/L (AWI);QF_Cl;SO4 mg/L (AWI);QF_SO4;Br mg/L (AWI);QF_Br;NO3 mg/L (AWI);QF_NO3_AWI;PO4 mg/L (AWI);QF_PO4_AWI
509;2021-10-12;08:00:00;2021-10-12 08:00:00;;;1.9;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
510;2021-10-14;09:00:00;2021-10-14 09:00:00;;;1.1;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
511;2021-10-16;08:00:00;2021-10-16 08:00:00;;;0;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
512;2021-10-18;07:00:00;2021-10-18 07:00:00;;;0;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
513;2021-10-20;08:00:00;2021-10-20 08:00:00;;;0;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
514;2021-10-22;09:00:00;2021-10-22 09:00:00;;;0;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
515;2021-10-24;09:00:00;2021-10-24 09:00:00;;;0;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
516;2021-10-26;09:00:00;2021-10-26 09:00:00;;;0;86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
517;2021-10-28;12:00:00;2021-10-28 12:00:00;;;0;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
516;2021-10-30;09:00:00;2021-10-30 09:00:00;;;0;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
517;2021-11-01;09:00:00;2021-11-01 09:00:00;;;0;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
518;2021-11-10;10:00:00;2021-11-10 10:00:00;;;0;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
519;2021-11-15;09:00:00;2021-11-15 09:00:00;;;0;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
520;2021-11-22;11:00:00;2021-11-22 11:00:00;;;0;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
521;2021-11-29;11:00:00;2021-11-29 11:00:00;;;0;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
522;2021-12-06;12:00:00;2021-12-06 12:00:00;;;0;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
523;2021-12-13;13:00:00;2021-12-13 13:00:00;;;0;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
524;2021-12-20;12:00:00;2021-12-20 12:00:00;;;0;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
525;2021-12-27;14:00:00;2021-12-27 14:00:00;;;0;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
526;2022-01-03;11:00:00;2022-01-03 11:00:00;;;0;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
527;2022-01-10;16:00:00;2022-01-10 16:00:00;;;0;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
528;2022-01-22;10:00:00;2022-01-22 10:00:00;;;0;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
529;2022-01-24;09:00:00;2022-01-24 09:00:00;;;0;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
530;2022-01-31;17:00:00;2022-01-31 17:00:00;;;0;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
531;2022-02-07;10:00:00;2022-02-07 10:00:00;;;0;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
532;2022-02-14;10:00:00;2022-02-14 10:00:00;;;0;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
533;2022-02-21;10:00:00;2022-02-21 10:00:00;;;0;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
534;2022-02-28;16:00:00;2022-02-28 16:00:00;;;0;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
535;2022-03-07;10:00:00;2022-03-07 10:00:00;;;0;206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
536;2022-03-14;09:00:00;2022-03-14 09:00:00;;;0;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
537;2022-03-21;10:00:00;2022-03-21 10:00:00;;;0;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
538;2022-03-28;11:00:00;2022-03-28 11:00:00;;;0;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
539;2022-04-04;10:00:00;2022-04-04 10:00:00;;;0.2;238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
540;2022-04-11;13:00:00;2022-04-11 13:00:00;;;0.8;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541;2022-04-18;16:00:00;2022-04-18 16:00:00;;;0;202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
542;2022-04-25;10:00:00;2022-04-25 10:00:00;;;0.1;242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
543;2022-05-02;10:00:00;2022-05-02 10:00:00;;;0.3;245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
544;2022-05-09;10:00:00;2022-05-09 10:00:00;;;0;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
545;2022-05-10;10:00:00;2022-05-10 10:00:00;;;0;243;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
546;2022-05-11;10:00:00;2022-05-11 10:00:00;;;0;252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
547;2022-05-12;10:00:00;2022-05-12 10:00:00;;;0.1;253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
548;2022-05-13;11:00:00;2022-05-13 11:00:00;;;0.1;253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
549;2022-05-14;10:00:00;2022-05-14 10:00:00;;;0.1;253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
550;2022-05-15;11:00:00;2022-05-15 11:00:00;;;0;257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
551;2022-05-16;10:00:00;2022-05-16 10:00:00;;;0;258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
552;2022-05-17;11:00:00;2022-05-17 11:00:00;;;0.1;259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
553;2022-05-18;10:00:00;2022-05-18 10:00:00;;;0.1;259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
554;2022-05-19;10:00:00;2022-05-19 10:00:00;;;0.1;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
555;2022-05-20;11:00:00;2022-05-20 11:00:00;;;0.1;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
556;2022-05-21;11:00:00;2022-05-21 11:00:00;;;0.1;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
557;2022-05-22;11:00:00;2022-05-22 11:00:00;;;0.2;259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
558;2022-05-23;11:00:00;2022-05-23 11:00:00;;;0.2;260;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
559;2022-05-24;11:00:00;2022-05-24 11:00:00;;;0.1;457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
560;2022-05-25;11:00:00;2022-05-25 11:00:00;;;0.1;460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
561;2022-05-26;11:00:00;2022-05-26 11:00:00;;;0.2;536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
562;2022-05-27;11:00:00;2022-05-27 11:00:00;;;0.2;137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
563;2022-05-28;10:00:00;2022-05-28 10:00:00;;;0;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
564;2022-05-29;09:00:00;2022-05-29 09:00:00;;;0;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
565;2022-05-30;10:00:00;2022-05-30 10:00:00;;;0.1;274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
566;2022-05-31;10:00:00;2022-05-31 10:00:00;;;0.1;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
567;2022-06-01;11:00:00;2022-06-01 11:00:00;;;0.2;270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
568;2022-06-02;10:00:00;2022-06-02 10:00:00;;;0.2;278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
569;2022-06-03;11:00:00;2022-06-03 11:00:00;;;0.2;272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
570;2022-06-04;10:00:00;2022-06-04 10:00:00;;;0.6;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
571;2022-06-05;10:00:00;2022-06-05 10:00:00;;;0.6;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
572;2022-06-06;11:00:00;2022-06-06 11:00:00;;;0.6;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
573;2022-06-07;10:00:00;2022-06-07 10:00:00;;;0.6;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
574;2022-06-08;10:00:00;2022-06-08 10:00:00;;;3;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
575;2022-06-09;10:00:00;2022-06-09 10:00:00;;;6.3;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
576;2022-06-10;18:00:00;2022-06-10 18:00:00;;;8.9;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
577;2022-06-11;10:00:00;2022-06-11 10:00:00;;;4.7;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
578;2022-06-12;11:00:00;2022-06-12 11:00:00;;;4.6;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
579;2022-06-13;10:00:00;2022-06-13 10:00:00;;;6.6;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
580;2022-06-14;09:00:00;2022-06-14 09:00:00;;;6.9;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
581;2022-06-15;10:00:00;2022-06-15 10:00:00;;;8;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
582;2022-06-17;10:00:00;2022-06-17 10:00:00;;;9.5;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
583;2022-06-19;10:00:00;2022-06-19 10:00:00;;;9.1;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
584;2022-06-21;10:00:00;2022-06-21 10:00:00;;;11.5;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
585;2022-06-23;10:00:00;2022-06-23 10:00:00;;;11.5;92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
586;2022-06-25;10:00:00;2022-06-25 10:00:00;;;12.5;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
587;2022-06-27;09:00:00;2022-06-27 09:00:00;;;12.7;81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
588;2022-06-29;11:00:00;2022-06-29 11:00:00;;;13;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
589;2022-07-01;09:00:00;2022-07-01 09:00:00;;;13.3;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
590;2022-07-03;10:00:00;2022-07-03 10:00:00;;;15.2;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
591;2022-07-05;10:00:00;2022-07-05 10:00:00;;;12.3;84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
592;2022-07-07;10:00:00;2022-07-07 10:00:00;;;14.8;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
593;2022-07-09;09:00:00;2022-07-09 09:00:00;;;15.6;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
594;2022-07-11;09:00:00;2022-07-11 09:00:00;;;17.3;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
595;2022-07-13;09:00:00;2022-07-13 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
596;2022-07-15;09:00:00;2022-07-15 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
597;2022-07-17;09:00:00;2022-07-17 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
598;2022-07-19;09:00:00;2022-07-19 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
599;2022-07-21;09:00:00;2022-07-21 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600;2022-07-23;09:00:00;2022-07-23 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
601;2022-07-25;09:00:00;2022-07-25 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
602;2022-07-27;09:00:00;2022-07-27 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
603;2022-07-29;09:00:00;2022-07-29 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
604;2022-07-31;09:00:00;2022-07-31 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
605;2022-08-02;09:00:00;2022-08-02 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
606;2022-08-04;09:00:00;2022-08-04 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
607;2022-08-06;09:00:00;2022-08-06 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
608;2022-08-08;09:00:00;2022-08-08 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
609;2022-08-10;09:00:00;2022-08-10 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
610;2022-08-12;09:00:00;2022-08-12 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611;2022-08-14;09:00:00;2022-08-14 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
612;2022-08-16;09:00:00;2022-08-16 09:00:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
613;2022-08-18;10:00:00;2022-08-18 10:00:00;;;15;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
614;2022-08-20;10:00:00;2022-08-20 10:00:00;;;14.9;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
615;2022-08-22;11:00:00;2022-08-22 11:00:00;;;13.5;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
616;2022-08-24;10:00:00;2022-08-24 10:00:00;;;13.7;113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
617;2022-08-26;08:00:00;2022-08-26 08:00:00;;;14.4;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
618;2022-08-28;09:00:00;2022-08-28 09:00:00;;;14.1;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
619;2022-08-30;10:00:00;2022-08-30 10:00:00;;;13.7;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620;2022-09-01;10:00:00;2022-09-01 10:00:00;;;12.4;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
621;2022-09-03;08:00:00;2022-09-03 08:00:00;;;11.1;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
622;2022-09-05;09:00:00;2022-09-05 09:00:00;;;10;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
623;2022-09-07;09:00:00;2022-09-07 09:00:00;;;10.4;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
624;2022-09-09;09:00:00;2022-09-09 09:00:00;;;10.6;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
625;2022-09-11;09:00:00;2022-09-11 09:00:00;;;10;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
626;2022-09-13;09:00:00;2022-09-13 09:00:00;;;9.4;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
627;2022-09-15;09:00:00;2022-09-15 09:00:00;;;8.4;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
628;2022-09-17;10:00:00;2022-09-17 10:00:00;;;7.9;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
629;2022-09-19;10:00:00;2022-09-19 10:00:00;;;7.8;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
630;2022-09-21;10:00:00;2022-09-21 10:00:00;;;6.9;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
