river;agency;station_code;station_name;date;discharge;flag
Mackenzie;NA;NA;NA;1972-06-19 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-20 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-21 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-22 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-23 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-24 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-25 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-26 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-27 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-28 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-29 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-06-30 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-01 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-02 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-03 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-04 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-05 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-06 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-07 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-08 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-09 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-10 00:00:00;NA;NA
Mackenzie;NA;NA;NA;1972-07-11 00:00:00;NA;NA
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-07-12 00:00:00;17600;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-07-13 00:00:00;17100;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-07-14 00:00:00;16600;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-07-15 00:00:00;16100;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-07-16 00:00:00;15800;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-07-17 00:00:00;15500;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-07-18 00:00:00;15300;A
Mackenzie;Water Survey of Canada;10LC014;Arctic Red River;1972-07-19 00:00:00;15100;A
Mackenzie;NA;NA;NA;1972-07-20 00:00:00;NA;NA
