river;agency;station_code;station_name;date;discharge;flag;Datetime;Datetime Kusur;Time to add for correction;Datetime Samoylov
Lena;Roshydromet;3821;Kyusyur;10.02.2000;3850;A;12:00:00 PM;10.02.2000 12:00;60:00:00;2000-02-13 00:00:00
Lena;Roshydromet;3821;Kyusyur;11.02.2000;3820;A;12:00:00 PM;11.02.2000 12:00;60:00:00;2000-02-14 00:00:00
Lena;Roshydromet;3821;Kyusyur;12.02.2000;3800;A;12:00:00 PM;12.02.2000 12:00;60:00:00;2000-02-15 00:00:00
Lena;Roshydromet;3821;Kyusyur;13.02.2000;3780;A;12:00:00 PM;13.02.2000 12:00;60:00:00;2000-02-16 00:00:00
Lena;Roshydromet;3821;Kyusyur;14.02.2000;3750;A;12:00:00 PM;14.02.2000 12:00;60:00:00;2000-02-17 00:00:00
Lena;Roshydromet;3821;Kyusyur;15.02.2000;3730;A;12:00:00 PM;15.02.2000 12:00;60:00:00;2000-02-18 00:00:00
Lena;Roshydromet;3821;Kyusyur;16.02.2000;3700;A;12:00:00 PM;16.02.2000 12:00;60:00:00;2000-02-19 00:00:00
Lena;Roshydromet;3821;Kyusyur;17.02.2000;3680;A;12:00:00 PM;17.02.2000 12:00;60:00:00;2000-02-20 00:00:00
Lena;Roshydromet;3821;Kyusyur;18.02.2000;3650;A;12:00:00 PM;18.02.2000 12:00;60:00:00;2000-02-21 00:00:00
Lena;Roshydromet;3821;Kyusyur;19.02.2000;3630;A;12:00:00 PM;19.02.2000 12:00;60:00:00;2000-02-22 00:00:00
Lena;Roshydromet;3821;Kyusyur;20.02.2000;3610;A;12:00:00 PM;20.02.2000 12:00;60:00:00;2000-02-23 00:00:00
Lena;Roshydromet;3821;Kyusyur;21.02.2000;3580;A;12:00:00 PM;21.02.2000 12:00;60:00:00;2000-02-24 00:00:00
Lena;Roshydromet;3821;Kyusyur;22.02.2000;3560;A;12:00:00 PM;22.02.2000 12:00;60:00:00;2000-02-25 00:00:00
