ID;Date;Time (local);Lat (DecDeg);Lon (DecDeg);Temperature (°C);EC (µS/cm);Discharge (m³/s);comments on sampling location;comments on sampling situation;sampled by;GF-F_FilterID;initialFilter-weight_g;FilteredVolume_ml;comment on filtering process;SPM (mg/L);aCDOM(254) (1/m);DOC (mg/L);TDN (mg/L);Al (Âµg/L);Ba (Âµg/L);Ca (mg/L);Fe (Âµg/L);K (mg/L);Mg (mg/L);Mn (Âµg/L);Na (mg/L);P (mg/L);Si (mg/L);Sr (Âµg/L);Pb (Âµg/L);Cr (Âµg/L);V (Âµg/L);Co (Âµg/L);Ni (Âµg/L);Cu (Âµg/L);Zn (Âµg/L)
14;04.07.2023;10:09;68.3381;-133.7058;20.09;287;;from dock off of upriver side;no wind_ steady flowing river_ murky_ a few minnows near dock;Lance Gray;23;0.1289;200;;25.5;36.14126;5.27;0.22;< 20;50;30.5;< 20;0.86;9.59;< 20;7.89;< 0,10;1.47;198;< 25;< 20;< 20;< 20;< 20;< 20;< 20
15;11.07.2023;13:35;68.3381;-133.7058;21.87;305;;from dock_ up river side;slight up river breeze_ murky water_ some bits of debris floating;Lance Gray;24;0.1277;200;nothing of note;40.5;28.26403;4.31;0.24;20;55;32.9;< 20;0.85;10.4;< 20;8.11;< 0,10;1.64;224;< 25;< 20;< 20;< 20;< 20;< 20;< 20
16;18.07.2023;10:55;68.3381;-133.7058;20.95;279;;from dock;light breeze blowing up river_ small waves moving up river_ murky water;Lance Gray;25;0.1292;200;;30.5;40.43151;6.07;0.28;< 20;51;30.1;< 20;0.87;9.84;< 20;8.04;< 0,10;1.23;205;< 25;< 20;< 20;< 20;< 20;< 20;< 20
17;25.07.2023;09:50;68.3381;-133.7058;21.76;283;;from dock;very light down river breeze (wind from up river to down river)_ foam/film settled near dock (photo in WhatsApp)_ low water;Lance Gray;;;;;19.5;36.02477;5.51;0.31;< 20;50;29.7;< 20;0.85;10.1;< 20;8.33;< 0,10;1.26;203;< 25;< 20;< 20;< 20;< 20;< 20;< 20
Transect bottle #1;25.07.2023;;;;;;;by hand from boat_ closest to dock;;;26;0.1296;200;rinses between samples not allowed to dry_ though left to drain sufficiently;17.5;;;;;;;;;;;;;;;;;;;;;
Transect bottle #2;25.07.2023;;;;;;;by hand from boat_ mid river;;;27;0.129;200;rinses between samples not allowed to dry_ though left to drain sufficiently;21;;;;;;;;;;;;;;;;;;;;;
Transect bottle #3;25.07.2023;;;;;;;by hand from boat_ furthest from dock;;;28;0.1288;200;rinses between samples not allowed to dry_ though left to drain sufficiently;20;;;;;;;;;;;;;;;;;;;;;
blank 4;25.07.2023;;;;;;;;;;29;0.1282;1000;rinses between samples not allowed to dry_ though left to drain sufficiently;-0.1;;;;;;;;;;;;;;;;;;;;;
18;01.08.2023;09:50;68.3381;-133.7058;22.25;305;;from dock;calm_ fog/smoke_ light sheen on water_ low water;Lance Gray_ Paul Overduin;30;0.1283;200;light sheen on water surface;14;25.74146;4.22;0.23;20;43;28.9;< 20;0.87;10.9;< 20;8.33;< 0,10;1.46;209;< 25;< 20;< 20;< 20;< 20;< 20;< 20
Discharge 1.1;02.08.2023;16:32;;;;;92.723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Discharge 1.2;02.08.2023;16:44;;;;;92.344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;08.08.2023;10:30;68.3381;-133.7058;19.97;319;;from dock;no wind_ very smokey_ thin sediment layer on water (ash?)_ low water;Lance Gray ;31;0.1288;200;very smokey air_ thin layer on water;16.5;20.95624;4.03;0.35;20;48;32.2;< 20;0.89;11.3;< 20;8.93;< 0,10;1.67;234;< 25;< 20;< 20;< 20;< 20;< 20;< 20
