ID;Date;Time (local);Lat (DecDeg);Lon (DecDeg);Temperature (°C);EC (µS/cm);Discharge (m³/s);comments on sampling location;comments on sampling situation;sampled by;GF-F_FilterID;initialFilter-weight_g;FilteredVolume_ml;comment on filtering process;SPM (mg/L);aCDOM(254) (1/m);DOC (mg/L);TDN (mg/L)
14;2023-07-04;10:09;68.3381;-133.7058;20.09;287;;from dock off of upriver side;no wind_ steady flowing river_ murky_ a few minnows near dock;Lance Gray;23;0.1289;200;;25.50;36.14126;5.27;0.22
15;2023-07-11;13:35;68.3381;-133.7058;21.87;305;;from dock_ up river side;slight up river breeze_ murky water_ some bits of debris floating;Lance Gray;24;0.1277;200;nothing of note;40.50;28.26403;4.31;0.24
16;2023-07-18;10:55;68.3381;-133.7058;20.95;279;;from dock;light breeze blowing up river_ small waves moving up river_ murky water;Lance Gray;25;0.1292;200;;30.50;40.43151;6.07;0.28
17;2023-07-25;09:50;68.3381;-133.7058;21.76;283;;from dock;very light down river breeze (wind from up river to down river)_ foam/film settled near dock (photo in WhatsApp)_ low water;Lance Gray;;;;;19.50;36.02477;5.51;0.31
Transect bottle #1;2023-07-25;;;;;;;by hand from boat_ closest to dock;;;26;0.1296;200;rinses between samples not allowed to dry_ though left to drain sufficiently;17.50;;;
Transect bottle #2;2023-07-25;;;;;;;by hand from boat_ mid river;;;27;0.129;200;rinses between samples not allowed to dry_ though left to drain sufficiently;21.00;;;
Transect bottle #3;2023-07-25;;;;;;;by hand from boat_ furthest from dock;;;28;0.1288;200;rinses between samples not allowed to dry_ though left to drain sufficiently;20.00;;;
blank 4;2023-07-25;;;;;;;;;;29;0.1282;1000;rinses between samples not allowed to dry_ though left to drain sufficiently;-0.10;;;
18;2023-08-01;09:50;68.3381;-133.7058;22.25;305;;from dock;calm_ fog/smoke_ light sheen on water_ low water;Lance Gray_ Paul Overduin;30;0.1283;200;light sheen on water surface;14.00;25.74146;4.22;0.23
Discharge 1.1;2023-08-02;16:32;;;;;92.723;;;;;;;;;;;
Discharge 1.2;2023-08-02;16:44;;;;;92.344;;;;;;;;;;;
19;2023-08-08;10:30;68.3381;-133.7058;19.97;319;;from dock;no wind_ very smokey_ thin sediment layer on water (ash?)_ low water;Lance Gray ;31;0.1288;200;very smokey air_ thin layer on water;16.50;20.95624;4.03;0.35
